balanced_rank,token_label,token_currency,token_issuer,dex_tx_count,amm_tx_count,clob_tx_count,both_sides_min_tx,both_sides_hmean_tx,balance_ratio,overlap_tx_count,overlap_share_of_min,amm_unique_ledger_count
1,666,666,rhvf9fe6PP3GC8Bku2Ug7iQPjPDxYZfrxN,298378,235659,84395,84395,124281.78560492917,0.35812339015272066,21676,0.25683986018129035,154895
2,XAH,XAH,rswh1fvyLqHizBS2awu1vs6QcmwTBd9qiv,26991,14074,13039,13039,13536.745177590086,0.9264601392638908,122,0.009356545747373265,13112
3,SOLO,534F4C4F00000000000000000000000000000000,rsoLo2S1kiGeCcn6hCUXVrCpGMWLrRrLZz,19702,12646,7830,7830,9671.63313147099,0.6191681164004428,774,0.09885057471264368,9315
4,CORE,434F524500000000000000000000000000000000,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,15138,8470,7362,7362,7877.2283981809,0.869185360094451,694,0.09426786199402336,7671
5,589,589,rfcasq9uRbvwcmLFvc4ti3j8Qt1CYCGgHz,29127,4529,24648,4529,7651.971895671248,0.1837471600129828,50,0.011039964672113049,2977
6,RLUSD,524C555344000000000000000000000000000000,rMxCKbEDwqr76QuheSUMdEGf4B9xJ8m5De,124895,3328,123453,3328,6481.280065624976,0.026957627599167294,1886,0.5667067307692307,2920
7,MALLARD,4D414C4C41524400000000000000000000000000,raaoPU9crbLGEFCMyh8moNH4gipsHJY3wN,23440,3044,20473,3044,5299.979759323043,0.1486836321008157,77,0.025295663600525625,2176
8,CNY,CNY,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y,7159,4619,3008,3008,3643.35964337223,0.6512232084866855,468,0.15558510638297873,2503
9,3RDEYE,3352444559450000000000000000000000000000,rHjyBqFM5oQvXu1soWtATC4r1V6GBnhCQQ,30480,2143,28371,2143,3984.9939699809925,0.07553487716330055,34,0.015865608959402706,1647
10,xSPECTAR,7853504543544152000000000000000000000000,rh5jzTCdMRCVjQ7LT6zucjezC47KATkuvv,15024,1822,13231,1822,3202.9339002192255,0.13770690046103848,29,0.015916575192096598,1368
11,XMAS,584D415300000000000000000000000000000000,rQnrDqcTQVqzHmvMX94HjcnZHtRQgU5jw1,5331,4247,1509,1509,2226.797428769979,0.35530963032728985,425,0.28164347249834326,2562
12,USDC,5553444300000000000000000000000000000000,rGm7WCVp9gb4jZHWTEtGUr4dd74z2XuWhE,18622,1369,17367,1369,2537.94011528608,0.07882766165716588,114,0.08327246165084003,1216
13,FUZZY,46555A5A59000000000000000000000000000000,rhCAT4hRdi2Y9puNdkpMzxrdKa5wkppR62,15717,15050,1050,1050,1963.0434782608695,0.06976744186046512,383,0.3647619047619048,7525
14,BPUG,4250554700000000000000000000000000000000,rUjp8dVpWFr7WJa93uHjSN16fZgiJivPwa,15447,878,14586,878,1656.2995344024832,0.06019470725353078,17,0.0193621867881549,630
15,EUROP,4555524F50000000000000000000000000000000,rMkEuRii9w9uBMQDnWV5AA43gvYZR9JxVK,10935,845,10170,845,1560.3540626418521,0.08308751229105212,80,0.09467455621301775,831
16,TBILL,5442494C4C000000000000000000000000000000,rTBLjLp1sWxCrMPjKruhaDrEB61wy4X36,1571,724,927,724,813.0199878861296,0.7810140237324703,80,0.11049723756906077,491
